Mon,Tue,Wed,Thu,Fri,Sat,Sun
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.39,0.0
0.0,0.0,0.0,0.0,0.22,4.39,0.32
0.0,0.0,0.0,0.71,2.17,3.93,2.41
0.83,0.0,2.98,3.78,3.97,4.02,2.28
2.44,1.52,2.74,2.28,3.37,3.79,1.4
1.81,1.36,2.66,0.97,3.28,3.82,0.87
0.69,0.19,2.83,1.31,3.51,4.15,2.35
0.0,0.0,1.15,0.62,2.63,4.26,0.53
0.0,0.16,0.0,0.7,1.86,3.18,0.0
0.0,0.0,0.0,0.0,1.29,0.93,0.0
0.0,0.0,0.0,0.0,2.4,5.0,0.0
0.49,0.0,0.0,0.0,1.61,2.24,0.0
0.0,0.0,0.0,0.0,0.37,0.0,0.0
0.0,0.0,0.0,0.0,0.96,0.0,0.0
0.0,0.0,0.0,0.26,1.91,0.0,0.0
0.0,0.0,0.0,0.0,2.37,0.0,0.0
0.0,0.0,0.0,0.0,2.1,0.0,0.0
