feature,mae,rmse,mae_to_rmse ratio
month,0.8383285884866767,1.540698376637243,1.837821586662649
exact_date_value,0.6742924528301886,1.1787351311613488,1.7481066653109898
week_value,0.6832783018867925,1.1885970602765739,1.7395504247601645
date_sin,0.6623349056603774,1.1702975955987225,1.7669272532630356
date_cos,0.6610141509433962,1.163488472022092,1.7601566779796873
day_of_year,0.6662028301886793,1.196154904936553,1.7954815721779247
day_of_year_sin,0.6602830188679245,1.1933524602311014,1.8073347733175704
day_of_year_cos,0.6599292452830189,1.1833924491390189,1.7932111019439763
sch_hol_period,0.6654481132075472,1.202108701486134,1.806464963424139
public_hol_period,0.6714150943396225,1.209478875773941,1.8013876750321451
