feature,mae,rmse,mae_to_rmse ratio
month,1.8026423871594863,2.286181669479803,1.2682391614469102
exact_date_value,1.3791745283018868,1.775633224812096,1.2874608603730162
week_value,1.3777122641509436,1.7758805283417565,1.2890068373138828
date_sin,1.3726650943396226,1.772796865524952,1.2914999243699932
date_cos,1.3608962264150943,1.7634265261721418,1.2957832433832244
day_of_year,1.3174764150943394,1.735459878696721,1.3172606802015894
day_of_year_sin,1.309834905660377,1.7158935869939,1.310007528108133
day_of_year_cos,1.3130660377358492,1.7254102602099408,1.3140315952311938
sch_hol_period,1.3185377358490564,1.741865866854623,1.321058790731514
public_hol_period,1.3037735849056602,1.7244807804855788,1.322684245524395
