snapname,jb_rating,wdlands_rating
08-10_19-00_Sun.jpg,0.05,0.72
08-10_20-00_Sun.jpg,0.02,0.02
08-10_21-00_Sun.jpg,0.02,0.0
08-10_22-00_Sun.jpg,0.02,0.01
08-10_23-00_Sun.jpg,0.01,0.02
08-11_00-00_Mon.jpg,0.02,4.79
08-11_01-00_Mon.jpg,0.03,4.72
08-11_02-00_Mon.jpg,0.03,4.84
08-11_03-00_Mon.jpg,0.03,4.9
08-11_04-00_Mon.jpg,0.03,1.64
08-11_05-00_Mon.jpg,0.03,0.02
08-11_06-00_Mon.jpg,0.03,0.12
08-11_07-00_Mon.jpg,0.05,1.13
08-11_08-00_Mon.jpg,0.05,3.86
08-11_09-00_Mon.jpg,0.05,0.07
08-11_10-00_Mon.jpg,0.05,4.53
08-11_11-00_Mon.jpg,0.19,4.44
08-11_12-00_Mon.jpg,0.31,4.75
08-11_13-00_Mon.jpg,0.06,4.08
08-11_14-00_Mon.jpg,0.51,4.73
08-11_15-00_Mon.jpg,0.06,4.77
08-11_16-00_Mon.jpg,0.14,4.15
08-11_17-00_Mon.jpg,0.12,-0.0
08-11_18-00_Mon.jpg,0.06,0.02
08-11_19-00_Mon.jpg,0.05,4.71
08-11_20-00_Mon.jpg,0.04,4.71
08-11_21-00_Mon.jpg,2.0,0.68
08-11_22-00_Mon.jpg,0.03,4.28
08-11_23-00_Mon.jpg,0.03,0.49
08-12_00-00_Tue.jpg,0.02,4.76
08-12_01-00_Tue.jpg,0.03,0.01
08-12_02-00_Tue.jpg,0.03,-0.0
08-12_03-00_Tue.jpg,0.03,0.0
08-12_04-00_Tue.jpg,0.02,0.01
08-12_05-00_Tue.jpg,0.02,0.03
08-12_06-00_Tue.jpg,0.03,0.08
08-12_07-00_Tue.jpg,0.05,3.98
08-12_08-00_Tue.jpg,0.05,4.32
08-12_09-00_Tue.jpg,0.05,2.92
08-12_10-00_Tue.jpg,0.05,0.64
08-12_11-00_Tue.jpg,0.05,0.12
08-12_12-00_Tue.jpg,0.17,3.98
08-12_13-00_Tue.jpg,0.05,4.64
08-12_14-00_Tue.jpg,0.05,4.5
08-12_15-00_Tue.jpg,0.05,0.66
08-12_16-00_Tue.jpg,0.07,4.6
08-12_17-00_Tue.jpg,0.05,4.81
08-12_18-00_Tue.jpg,0.05,4.77
08-12_19-00_Tue.jpg,0.05,2.92
08-12_20-00_Tue.jpg,0.02,0.02
08-12_21-00_Tue.jpg,0.02,4.69
08-12_22-00_Tue.jpg,0.02,4.67
08-12_23-00_Tue.jpg,0.02,4.95
08-13_00-00_Wed.jpg,0.02,3.58
08-13_01-00_Wed.jpg,0.04,-0.0
08-13_02-00_Wed.jpg,0.04,0.01
08-13_03-00_Wed.jpg,0.05,0.03
08-13_04-00_Wed.jpg,0.05,0.06
08-13_05-00_Wed.jpg,0.04,1.47
08-13_06-00_Wed.jpg,0.03,3.94
08-13_07-00_Wed.jpg,0.37,3.26
08-13_08-00_Wed.jpg,0.05,4.36
08-13_09-00_Wed.jpg,0.07,4.38
08-13_10-00_Wed.jpg,0.05,4.61
08-13_11-00_Wed.jpg,0.08,4.8
08-13_12-00_Wed.jpg,4.0,0.02
08-13_13-00_Wed.jpg,4.68,3.63
08-13_14-00_Wed.jpg,0.05,0.07
08-13_15-00_Wed.jpg,0.09,2.84
08-13_16-00_Wed.jpg,2.0,4.46
08-13_17-00_Wed.jpg,0.07,2.03
08-13_18-00_Wed.jpg,0.05,0.19
08-13_19-00_Wed.jpg,0.05,4.58
08-13_20-00_Wed.jpg,0.04,4.03
08-13_21-00_Wed.jpg,0.04,3.29
08-13_22-00_Wed.jpg,0.02,4.43
08-13_23-00_Wed.jpg,0.04,0.01
08-14_00-00_Thu.jpg,0.03,0.02
08-14_01-00_Thu.jpg,0.03,0.01
08-14_02-00_Thu.jpg,0.02,0.01
08-14_03-00_Thu.jpg,0.03,0.01
08-14_04-00_Thu.jpg,0.04,0.02
08-14_05-00_Thu.jpg,0.04,0.01
08-14_06-00_Thu.jpg,0.04,2.55
08-14_07-00_Thu.jpg,0.11,2.41
08-14_08-00_Thu.jpg,0.16,2.6
08-14_09-00_Thu.jpg,0.05,4.5
08-14_10-00_Thu.jpg,0.05,0.04
08-14_11-00_Thu.jpg,0.05,0.73
08-14_12-00_Thu.jpg,0.05,0.02
08-14_13-00_Thu.jpg,0.05,0.03
08-14_14-00_Thu.jpg,0.05,0.05
08-14_15-00_Thu.jpg,0.08,4.13
08-14_16-00_Thu.jpg,0.19,4.56
08-14_17-00_Thu.jpg,0.09,4.72
08-14_18-00_Thu.jpg,0.05,3.74
08-14_19-00_Thu.jpg,0.05,0.88
08-14_20-00_Thu.jpg,0.03,0.26
08-14_21-00_Thu.jpg,0.04,4.66
08-14_22-00_Thu.jpg,0.02,4.6
08-14_23-00_Thu.jpg,0.02,-0.0
08-15_00-00_Fri.jpg,0.01,0.01
08-15_01-00_Fri.jpg,0.02,0.15
08-15_02-00_Fri.jpg,0.02,4.36
08-15_03-00_Fri.jpg,0.02,4.37
08-15_04-00_Fri.jpg,0.02,0.01
08-15_05-00_Fri.jpg,0.02,0.03
08-15_06-00_Fri.jpg,0.04,3.08
08-15_07-00_Fri.jpg,0.05,3.67
08-15_08-00_Fri.jpg,0.08,3.27
08-15_09-00_Fri.jpg,0.27,4.34
08-15_10-00_Fri.jpg,0.05,4.45
08-15_11-00_Fri.jpg,0.12,4.61
08-15_12-00_Fri.jpg,0.13,2.43
08-15_13-00_Fri.jpg,0.05,1.79
08-15_14-00_Fri.jpg,0.05,1.44
08-15_15-00_Fri.jpg,0.11,0.01
08-15_16-00_Fri.jpg,0.17,2.45
08-15_17-00_Fri.jpg,0.17,4.56
08-15_18-00_Fri.jpg,2.0,4.04
08-15_19-00_Fri.jpg,0.05,3.29
08-15_20-00_Fri.jpg,0.04,0.67
08-15_21-00_Fri.jpg,0.02,0.47
08-15_22-00_Fri.jpg,0.04,0.02
08-15_23-00_Fri.jpg,0.03,0.01
08-16_00-00_Sat.jpg,0.01,0.02
08-16_01-00_Sat.jpg,0.02,0.01
08-16_02-00_Sat.jpg,0.02,-0.0
08-16_03-00_Sat.jpg,0.02,0.02
08-16_04-00_Sat.jpg,0.02,0.01
08-16_05-00_Sat.jpg,0.02,0.01
08-16_06-00_Sat.jpg,0.02,0.02
08-16_07-00_Sat.jpg,0.05,0.02
08-16_08-00_Sat.jpg,4.0,0.73
08-16_09-00_Sat.jpg,4.56,0.03
08-16_10-00_Sat.jpg,4.55,0.03
08-16_11-00_Sat.jpg,4.07,0.02
08-16_12-00_Sat.jpg,4.11,1.69
08-16_13-00_Sat.jpg,4.08,3.31
08-16_14-00_Sat.jpg,4.51,0.01
08-16_15-00_Sat.jpg,4.21,0.01
08-16_16-00_Sat.jpg,0.18,0.02
08-16_17-00_Sat.jpg,4.61,0.38
08-16_18-00_Sat.jpg,2.0,1.1
08-16_19-00_Sat.jpg,0.17,0.76
08-16_20-00_Sat.jpg,0.02,0.01
08-16_21-00_Sat.jpg,0.03,0.02
08-16_22-00_Sat.jpg,0.03,0.02
08-16_23-00_Sat.jpg,0.04,4.99
08-17_00-00_Sun.jpg,0.02,4.78
08-17_01-00_Sun.jpg,0.03,4.73
08-17_02-00_Sun.jpg,0.02,0.04
08-17_03-00_Sun.jpg,0.02,3.03
08-17_04-00_Sun.jpg,0.03,4.85
08-17_05-00_Sun.jpg,0.02,0.01
08-17_06-00_Sun.jpg,0.02,0.03
08-17_07-00_Sun.jpg,0.05,0.03
08-17_08-00_Sun.jpg,0.06,2.34
08-17_09-00_Sun.jpg,0.05,4.6
08-17_10-00_Sun.jpg,0.05,4.49
08-17_11-00_Sun.jpg,0.05,4.4
08-17_12-00_Sun.jpg,0.05,4.58
08-17_13-00_Sun.jpg,0.06,0.02
08-17_14-00_Sun.jpg,0.06,0.02
08-17_15-00_Sun.jpg,0.27,0.02
08-17_16-00_Sun.jpg,0.39,1.57
08-17_17-00_Sun.jpg,0.33,0.02
08-17_18-00_Sun.jpg,0.17,0.05
08-17_19-00_Sun.jpg,0.09,3.9
08-17_20-00_Sun.jpg,0.02,2.75
08-17_21-00_Sun.jpg,0.02,0.01
08-17_22-00_Sun.jpg,0.02,0.01
08-17_23-00_Sun.jpg,0.02,1.19
08-18_00-00_Mon.jpg,0.02,0.03
08-18_06-00_Mon.jpg,0.03,2.4
08-18_07-00_Mon.jpg,0.08,1.76
08-18_08-00_Mon.jpg,0.43,4.01
08-18_09-00_Mon.jpg,0.43,3.86
08-18_10-00_Mon.jpg,0.27,0.75
08-18_11-00_Mon.jpg,0.05,0.15
08-18_12-00_Mon.jpg,0.07,3.95
08-18_13-00_Mon.jpg,0.1,4.15
08-18_14-00_Mon.jpg,0.06,4.56
08-18_15-00_Mon.jpg,0.22,3.79
08-18_16-00_Mon.jpg,0.05,4.74
08-18_17-00_Mon.jpg,0.28,4.56
08-18_18-00_Mon.jpg,0.43,4.47
08-18_19-00_Mon.jpg,0.24,4.46
08-18_20-00_Mon.jpg,0.02,4.69
08-18_21-00_Mon.jpg,0.03,4.42
08-18_22-00_Mon.jpg,0.02,4.55
08-18_23-00_Mon.jpg,0.02,0.91
08-19_00-00_Tue.jpg,0.02,0.02
08-19_01-00_Tue.jpg,0.03,0.01
08-19_02-00_Tue.jpg,0.03,3.48
08-19_03-00_Tue.jpg,0.03,0.02
08-19_04-00_Tue.jpg,0.03,0.01
08-19_05-00_Tue.jpg,0.02,0.02
08-19_06-00_Tue.jpg,0.03,3.27
08-19_07-00_Tue.jpg,0.05,2.6
08-19_08-00_Tue.jpg,0.52,2.62
08-19_09-00_Tue.jpg,0.05,4.57
08-19_10-00_Tue.jpg,0.05,4.54
08-19_11-00_Tue.jpg,0.05,0.08
08-19_12-00_Tue.jpg,0.05,0.03
08-19_13-00_Tue.jpg,0.13,0.05
08-19_14-00_Tue.jpg,0.29,3.1
08-19_15-00_Tue.jpg,0.19,3.97
08-19_16-00_Tue.jpg,0.1,4.68
08-19_17-00_Tue.jpg,0.26,4.81
08-19_18-00_Tue.jpg,0.27,4.66
08-19_19-00_Tue.jpg,0.53,4.2
08-19_20-00_Tue.jpg,0.03,2.64
08-19_21-00_Tue.jpg,0.02,2.52
08-19_22-00_Tue.jpg,0.03,0.02
08-19_23-00_Tue.jpg,0.04,0.02
08-20_00-00_Wed.jpg,0.04,0.03
08-20_01-00_Wed.jpg,0.03,0.03
08-20_02-00_Wed.jpg,0.03,0.02
08-20_03-00_Wed.jpg,0.03,0.02
08-20_04-00_Wed.jpg,0.03,0.01
08-20_05-00_Wed.jpg,0.04,0.24
08-20_06-00_Wed.jpg,0.04,0.95
08-20_07-00_Wed.jpg,0.05,4.18
