Mon,Tue,Wed,Thu,Fri,Sat,hour_sin,hour_cos,week_value,date_sin,date_cos,day_of_year,day_of_year_sin,day_of_year_cos,sch_hol_period,public_hol_period,year_quarter_Q1,year_quarter_Q2,year_quarter_Q3
0.0,0.0,0.0,0.0,0.0,0.0,-0.9659258262890684,0.2588190451025203,2,0.9987165071710528,-0.05064916883871264,222,-0.6287628145958345,-0.7775971469736268,False,False,False,False,False
0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844386,0.5000000000000001,2,0.9987165071710528,-0.05064916883871264,222,-0.6287628145958345,-0.7775971469736268,False,False,False,False,False
0.0,0.0,0.0,0.0,0.0,0.0,-0.7071067811865477,0.7071067811865474,2,0.9987165071710528,-0.05064916883871264,222,-0.6287628145958345,-0.7775971469736268,False,False,False,False,False
0.0,0.0,0.0,0.0,0.0,0.0,-0.5000000000000004,0.8660254037844384,2,0.9987165071710528,-0.05064916883871264,222,-0.6287628145958345,-0.7775971469736268,False,False,False,False,False
0.0,0.0,0.0,0.0,0.0,0.0,-0.25881904510252157,0.9659258262890681,2,0.9987165071710528,-0.05064916883871264,222,-0.6287628145958345,-0.7775971469736268,False,False,False,False,False
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.9987165071710528,-0.05064916883871264,223,-0.6420547132365636,-0.7666588193001592,False,False,False,False,False
1.0,0.0,0.0,0.0,0.0,0.0,0.25881904510252074,0.9659258262890683,2,0.9987165071710528,-0.05064916883871264,223,-0.6420547132365636,-0.7666588193001592,False,False,False,False,False
1.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387,2,0.9987165071710528,-0.05064916883871264,223,-0.6420547132365636,-0.7666588193001592,False,False,False,False,False
1.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.7071067811865476,2,0.9987165071710528,-0.05064916883871264,223,-0.6420547132365636,-0.7666588193001592,False,False,False,False,False
1.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001,2,0.9987165071710528,-0.05064916883871264,223,-0.6420547132365636,-0.7666588193001592,False,False,False,False,False
