epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,195.062,5.7,6.00283,3.87118,0,0,0,0,7.01692,6.11356,4.32039,0.00064,0.00064,0.00064
2,411.431,4.0505,3.60869,2.64502,0,0,0,0,7.08136,7.11882,4.98165,0.00126782,0.00126782,0.00126782
3,617.108,3.37379,2.85489,2.21012,0,0,0,0,4.43743,9.4418,3.77279,0.00186298,0.00186298,0.00186298
4,817.716,3.07968,2.95951,1.89006,0.05758,0.07407,0.04305,0.01318,3.45303,3.06243,2.10896,0.0018515,0.0018515,0.0018515
5,1017.13,2.96875,2.89871,1.82154,0.10495,0.2963,0.11972,0.02532,3.21056,2.30422,1.94066,0.001802,0.001802,0.001802
6,1217.03,2.84995,2.25865,1.78995,0.09665,0.18519,0.06683,0.01542,3.18633,2.35949,1.90692,0.0017525,0.0017525,0.0017525
7,1416.3,2.76793,2.12103,1.72412,0.19122,0.18519,0.21284,0.05491,2.77637,2.04276,1.67254,0.001703,0.001703,0.001703
8,1599.7,2.74533,2.10863,1.68692,0.20933,0.40741,0.2093,0.06451,2.9747,2.05511,1.7972,0.0016535,0.0016535,0.0016535
9,1780.8,2.7225,2.02561,1.7508,0.10132,0.37037,0.05403,0.01521,3.63984,1.96624,2.38647,0.001604,0.001604,0.001604
10,1961.47,2.75606,2.04306,1.70466,0.16294,0.66667,0.21076,0.09367,2.55414,1.93736,1.6029,0.0015545,0.0015545,0.0015545
11,2141.73,2.61646,1.94913,1.64784,0.15926,0.25926,0.15143,0.03583,2.89582,2.2318,1.69183,0.001505,0.001505,0.001505
12,2322.57,2.68755,1.95103,1.7017,0.16971,0.44444,0.17148,0.04566,2.72052,2.129,1.61091,0.0014555,0.0014555,0.0014555
13,2782.18,2.64129,1.92841,1.62494,0.17602,0.51852,0.18994,0.05327,2.88878,1.91926,1.7353,0.001406,0.001406,0.001406
14,2977.59,2.60637,1.90013,1.62407,0.17605,0.51852,0.20834,0.06397,2.50464,2.16933,1.52032,0.0013565,0.0013565,0.0013565
15,3169.98,2.58955,1.87881,1.60823,0.17273,0.59259,0.21753,0.06543,2.76176,1.87409,1.68503,0.001307,0.001307,0.001307
16,3382.29,2.52861,1.81361,1.57773,0.20106,0.77778,0.33686,0.11362,2.60357,1.71816,1.59054,0.0012575,0.0012575,0.0012575
17,3594.44,2.48849,1.82544,1.559,0.21035,0.62963,0.31532,0.09638,2.86748,1.84309,1.694,0.001208,0.001208,0.001208
18,3789.46,2.48746,1.80522,1.60785,0.22825,0.66667,0.33079,0.09074,2.75978,1.91565,1.6412,0.0011585,0.0011585,0.0011585
19,3992.73,2.5221,1.80448,1.57739,0.2118,0.7037,0.32212,0.11585,2.78696,1.68967,1.71503,0.001109,0.001109,0.001109
20,4195.59,2.48012,1.80271,1.58903,0.25943,0.48009,0.28678,0.08252,2.68368,2.46513,1.61922,0.0010595,0.0010595,0.0010595
21,4398.31,2.4765,1.83418,1.55827,0.27395,0.54515,0.31867,0.10509,2.78296,1.74643,1.67767,0.00101,0.00101,0.00101
22,4591.73,2.43458,1.78032,1.55886,0.16027,0.37037,0.21022,0.04463,2.81995,2.10646,1.63882,0.0009605,0.0009605,0.0009605
23,4775.29,2.35672,1.96635,1.5149,0.17332,0.6834,0.35403,0.10967,2.7388,1.65441,1.72056,0.000911,0.000911,0.000911
24,4958.97,2.42267,1.71803,1.5332,0.27246,0.2963,0.31536,0.10331,2.5124,1.81393,1.5089,0.0008615,0.0008615,0.0008615
25,5142.88,2.39987,1.74654,1.54211,0.18268,0.7037,0.21944,0.06234,2.78454,1.94374,1.63134,0.000812,0.000812,0.000812
26,5326.47,2.36008,1.71383,1.5229,0.12719,0.51852,0.1289,0.03546,2.95195,1.9335,1.72125,0.0007625,0.0007625,0.0007625
27,5808.1,2.40488,1.69363,1.54327,0.22716,0.74074,0.34867,0.14949,2.32556,1.63954,1.44833,0.000713,0.000713,0.000713
28,5999.28,2.38881,1.69129,1.53301,0.31244,0.59259,0.40674,0.13133,2.67971,1.60851,1.67204,0.0006635,0.0006635,0.0006635
29,6190.9,2.35065,1.69479,1.5287,0.17621,0.62963,0.29948,0.07664,2.73242,1.84302,1.63805,0.000614,0.000614,0.000614
30,6381.33,2.34918,1.68856,1.53985,0.273,0.7037,0.43498,0.13239,2.53339,1.73912,1.55641,0.0005645,0.0005645,0.0005645
31,6569.86,2.22313,1.78015,1.53772,0.21696,0.77778,0.37915,0.11252,2.44504,1.78116,1.53228,0.000515,0.000515,0.000515
32,6745.78,2.2838,1.74064,1.51324,0.19635,0.55556,0.3407,0.12621,2.46475,1.79288,1.54148,0.0004655,0.0004655,0.0004655
33,20624.1,2.30903,1.85141,1.57166,0.24249,0.59259,0.3914,0.12409,2.46453,1.7037,1.51592,0.000416,0.000416,0.000416
34,20825.6,2.19335,1.72965,1.51194,0.2386,0.60365,0.4051,0.1295,2.5901,1.67486,1.60905,0.0003665,0.0003665,0.0003665
35,21025.8,2.26302,1.72906,1.55499,0.19195,0.55556,0.32449,0.1148,2.48995,1.76694,1.51243,0.000317,0.000317,0.000317
36,21214.1,2.27435,1.67765,1.5828,0.20881,0.59259,0.32073,0.09049,2.69322,1.81483,1.60193,0.0002675,0.0002675,0.0002675
37,21398.5,2.24391,1.67136,1.53412,0.23707,0.59259,0.43595,0.14244,2.5236,1.66157,1.56302,0.000218,0.000218,0.000218
38,21603.5,2.22039,1.94424,1.50381,0.23491,0.55556,0.38148,0.13627,2.52098,1.63105,1.54745,0.0001685,0.0001685,0.0001685
39,21791.4,2.12531,1.72176,1.48646,0.27342,0.62963,0.4698,0.16911,2.54858,1.56223,1.58796,0.000119,0.000119,0.000119
40,21997.8,2.20523,1.67864,1.54475,0.22816,0.59259,0.42405,0.14437,2.49227,1.58454,1.53971,6.95e-05,6.95e-05,6.95e-05
